jugador,id,equipo
Benavides,41452,Sevilla
Ibra,209133,Sevilla
Marcão,29165,Sevilla
Lulo,104394,Sevilla
Flores,12372,Sevilla
Yeray,202395,Athletic Club
Unai Hernández,41633,Barcelona
Kike,29977,Betis
Busto,404034,Betis
Diao,304253,Betis
Ristić,22909,Celta de Vigo
Guaita,8475,Celta de Vigo
Óscar Rodríguez,25297,Getafe
Greenwood,22748,Getafe
Dani Ceballos,15261,Real Madrid
Romero,30000,Villarreal
Montes,29990,Almería
Mariano,301239,Sevilla
Marvin,22714,Las Palmas
Torrente,28907,Granada
Álvaro Carreras,42864,Granada
Weissman,28787,Granada
Jastin García,13646,Girona
Ropero,27824,Alavés
Marciano,53010,Almería
Mendy,28266,Real Madrid
Claudio Bravo,442,Betis
Kouamé,28205,Cádiz
Chust,23943,Cádiz
Sergi Guardiola,401141,Cádiz
André Silva,70081,Real Sociedad
Magunazelaia,12978,Real Sociedad
Patrick,28999,Getafe
Marco,27643,Atlético de Madrid
Gismera,13467,Atlético de Madrid
El Jebari,13634,Atlético de Madrid
Niño,13559,Atlético de Madrid
William Carvalho,70061,Betis
Visus,24728,Betis
Borja García,9405,Girona
Carrillo,43216,Real Madrid
Miguelito,41763,Mallorca
Paco Sanz,13648,Almería
Yarek,13476,Valencia
Montero,13647,Alavés
Brašanac,20098,Osasuna
Peña,12123,Almería
Guiu,13615,Barcelona
Pau Víctor,23997,Barcelona
Esnáider,27649,Getafe
Aberdin,102701,Getafe
Yuzún,13649,Mallorca
Nianzou,25763,Sevilla
Moleiro,27546,Las Palmas
Fort,111189,Barcelona
Ortiz,12821,Alavés
Álex Morata,208877,Cádiz
Njalla,403811,Cádiz
Milla,22127,Getafe
Jordi,26413,Getafe
Mestre,1080602,Atlético de Madrid
Fekir,82254,Betis
Hugo Álvarez,13195,Celta de Vigo
Javi Rodríguez,109910,Celta de Vigo
Aramburu,110663,Real Sociedad
Pascual,110325,Villarreal
Rincón,40518,Athletic Club
Güler,42745,Real Madrid
Aznar,401528,Cádiz
Damián,43010,Celta de Vigo
Rachad,13652,Almería
Sokratis,93305,Betis
Parada,15172,Alavés
Ocampo,46767,Cádiz
Diakite,205443,Cádiz
Yaakobishvili,306200,Girona
Garrido,105707,Girona
Mario Martín,104222,Real Madrid
Abraham,206780,Villarreal
Padilla,40501,Athletic Club
Camus,24950,Valencia
Theo Zidane,43219,Real Madrid
Rafa,15147,Sevilla
Coquelin,95573,Villarreal
Mascaró,403742,Mallorca
Marí,1047810,Valencia
Ferrer,41331,Las Palmas
Fiabema,111167,Real Sociedad
Ayesa,22634,Real Sociedad
Belaid,13653,Atlético de Madrid
Tristán,23761,Granada
Olabarrieta,209020,Athletic Club
Jauregizar,304701,Athletic Club
Javi Domínguez,18425,Celta de Vigo
Arbol,108489,Granada
Marcos,42672,Mallorca
De Luis,24969,Real Madrid
Vinícius Tobías,32927,Real Madrid
Muñoz,208751,Alavés
Ünal,20260,Getafe
Capitas,41184,Sevilla
Hormigo,404749,Sevilla
Prim,13616,Barcelona
Otorbi,209153,Valencia
Bailly,301795,Villarreal
Carlos Vicente,23520,Alavés
Simeone,206664,Alavés
Jailson,404689,Celta de Vigo
Batalla,42348,Granada
Arezo,26318,Granada
Šviderský,47373,Almería
Vitor Roque,33062,Barcelona
Isaac,27826,Sevilla
Agoumé,26627,Sevilla
Dadie,201964,Real Sociedad
Cardoso,30033,Betis
Pleguezuelo,110331,Betis
Piątkowski,43782,Granada
Hongla,24318,Granada
Leković,45960,Villarreal
Quevedo,303792,Mallorca
Monjonell,15141,Girona
Vermeeren,45302,Atlético de Madrid
Moldovan,13658,Atlético de Madrid
Crespo,46013,Rayo Vallecano
Yellu,13287,Getafe
Eyong,30517,Cádiz
Rupérez,403946,Real Sociedad
Becker,78143,Real Sociedad
Martín,304508,Real Sociedad
Guedes,70068,Villarreal
Iker Álvarez,18392,Villarreal
Fabio,20263,Las Palmas
Artero,12965,Girona
Mejbri,40608,Sevilla
Medenica,101485,Getafe
Pablo Sáenz,41828,Granada
Sangaré,13272,Granada
Luka Romero,29384,Almería
Radovanović,29441,Almería
Maouassa,28068,Granada
Marc Martínez,200549,Granada
Bello,111256,Granada
Pellistri,29650,Granada
Corbeanu,29728,Granada
Panichelli,52565,Alavés
Peter,43217,Valencia
Bruno Langa,27638,Almería
Fornals,20043,Betis
Juanmi,12409,Cádiz
Ousou,46222,Cádiz
Manquillo,101276,Celta de Vigo
Allende,34544,Celta de Vigo
Idumbo,209302,Sevilla
Samassekou,25662,Cádiz
Killane,11342,Las Palmas
Jacobo,208662,Real Madrid
Jóźwiak,700729,Granada
Radonjić,21795,Mallorca
Ilaix Moriba,26746,Getafe
Herranz,208966,Getafe
Véliz,34236,Sevilla
Sintes,26879,Sevilla
Bakambu,82887,Betis
Álvaro,209170,Alavés
Campaña,400412,Las Palmas
Arguibide,304695,Osasuna
Svensson,43118,Osasuna
Gimeno,105887,Getafe
Budesca,13594,Villarreal
Faye,111194,Barcelona
Osambela,110646,Osasuna
Toni Villa,21033,Girona
Risco,13659,Getafe
Tallal,208967,Getafe
Raihani,13621,Atlético de Madrid
Jeremy,208673,Getafe
Courtois,13727,Real Madrid
Huarte,27771,Osasuna
Abril,304284,Valencia
Rodelas,404806,Granada
Brau,15160,Granada
Nando,402355,Cádiz
Lago,41300,Celta de Vigo
Javi Rueda,200150,Celta de Vigo
César Fernández,43004,Celta de Vigo
