match_id,fecha,jornada,competicion,equipo_local,equipo_visitante,resultado,goles_local,goles_visitante,estadio,arbitro,manager_local,manager_visitante,res_local,res_visitante,titulares_local_ids,suplentes_local_ids,titulares_visitante_ids,suplentes_visitante_ids,goleadores_local_ids,goles_local_count,goleadores_visitante_ids,goles_visitante_count,cantidad_tarjetas_amarillas_local,id_jugadores_local_amarilla,cantidad_tarjetas_amarillas_visita,id_jugadores_visitante_amarilla,cantidad_tarjetas_rojas_local,id_jugadores_local_roja,cantidad_tarjetas_rojas_visita,id_jugadores_visitante_roja,Cuota 1,Cuota X,Cuota 2
30891,2022-09-03,Round 4,First Division,Mallorca,Girona,1-1,1,1,Visit Mallorca Estadi  (Palma de Mallorca),Díaz de Mera,Aguirre,Míchel,1,1,"25705,301806,24644,20741,401446,12615,20889,70347,100293,23558,28512","301113,13763,82249,27804,13266,23528,13279,23151,11677,29575,24649,8533","101023,15099,24523,300554,9371,304051,27971,302245,300056,23741,1010860","24664,6287,200119,21033,24250,95715,41632,19835,26769,12962,12965",401446,1.0,200119,1.0,4.0,"24644,20889,70347,28512",2.0,"300056,1010860",0.0,0,0.0,0,2.14,3.1,3.86
30892,2022-09-03,Round 4,First Division,Real Madrid,Betis,2-1,2,1,Estadio Santiago Bernabéu  (Madrid),Sánchez Martínez,Ancelotti,Pellegrini,2,1,"13727,101005,20583,93161,22869,28266,28344,18002,25618,20660,12426","93402,92802,22396,15261,200113,16806,20659,301239,26682,95685,101266","70320,82702,27431,23105,301828,82254,27658,4149,12409,8496,102337","23106,15205,1288,30140,303958,21125,12480,442,21475,300052,24095","20660,25618",2.0,8496,1.0,0.0,0,1.0,23105,0.0,0,0.0,0,1.37,5.25,7.56
30893,2022-09-03,Round 4,First Division,Real Sociedad,Atlético de Madrid,1-1,1,1,Reale Arena  (Donostia-San Sebastián),Soto Grado,Imanol,Simeone,1,1,"201983,22358,22240,22404,22578,22483,19027,21041,537,28737,28332","22472,26515,202438,27094,22759,23755,26732,206629,43069,12582,15074,22314","18149,70839,15204,20525,22037,18142,82276,12503,101062,20535,8571","19830,18027,20150,12581,20017,205394,13285,29006,12819",27094,1.0,8571,1.0,5.0,"22358,22240,22483,19027,28737",4.0,"22037,18142,101062,8571",0.0,0,0.0,0,2.88,3.03,2.7
30894,2022-09-03,Round 4,First Division,Sevilla,Barcelona,0-3,0,3,Sánchez-Pizjuán (Sevilla),Mateu Lahoz,Lopetegui,Xavi,0,3,"101861,404684,78077,25763,29160,301804,300520,84013,8548,97738,20092","19975,27655,97612,26241,78946,19973,20128,1251,29773,12372,23132,27076","93292,84324,304055,21908,20068,11269,25651,6857,70294,84451,93207","300367,9333,78218,23758,23403,25004,82206,22923,84094,24589,97737,944",0,0.0,"70294,93207,304055",3.0,2.0,"301804,27655",4.0,"21908,20068,84451,300367",0.0,0,0.0,0,4.73,3.67,1.72
30895,2022-09-04,Round 4,First Division,Osasuna,Rayo Vallecano,2-1,2,1,Estadio El Sadar  (Pamplona (Iruñea),Muñiz Ruiz,Arrasate,Iraola,2,1,"201971,302292,201317,201018,86177,23928,22606,8752,8678,21481,27214","43090,20098,26976,9395,301767,20120,19024,300174,22773,201045,100312","402399,3793,22401,13748,28183,26734,21514,2121,402020,401011,21812","20945,21120,21187,13729,20687,202401,22568,95465,20188,84014,13378,1914","23928,301767",2.0,13748,1.0,2.0,"201317,86177",2.0,"26734,402020",0.0,0,0.0,0,2.1,2.96,4.03
30896,2022-09-04,Round 4,First Division,Athletic Club,Espanyol,0-1,0,1,San Mamés  (Bilbao),Martínez Munuera,Valverde,Diego Martínez,0,1,"22117,9277,22519,202395,202398,12441,20793,16832,43075,19025,202397","20792,20795,2294,20178,20797,201266,26897,20796,9438,300444,22162,201038","21334,23525,21352,12498,21032,30024,28184,15228,23319,82667,9301","28136,43113,106528,25298,22175,304041,26712,26538,23627",0,0.0,82667,1.0,3.0,"9277,20793,20795",2.0,"12498,25298",0.0,0,0.0,0,1.51,4.24,6.6
30897,2022-09-04,Round 4,First Division,Villarreal,Elche,4-0,4,0,Estadio Ciudad de Valencia  (Valencia),Ortiz Arias,Emery,Francisco,4,0,"18174,6268,23355,2290,23095,28150,6164,91017,15097,8675,15094","82607,95573,24868,304049,301763,18392,15239,200072,24508,23365,43154","300473,29916,301062,18171,301796,25422,19003,101267,23370,27250,27077","16308,402377,25227,300529,301250,20249,110148,97478,402078,13295,18038","8675,28150,95573,301763",4.0,0,0.0,1.0,15097,3.0,"18171,19003,301250",0.0,0,0.0,0,1.38,4.85,8.13
30898,2022-09-04,Round 4,First Division,Valencia,Getafe,5-1,5,1,Estadio de Mestalla  (Valencia),Munuera Montero,Gattuso,Quique,5,1,"12935,22681,13277,28075,302283,23912,26778,23542,25825,22451,18155","13178,15258,26746,23702,24700,29636,26925,301736,26974,15211,43144","402491,300527,29122,19021,21199,45278,22333,23198,84474,22115,20260","15246,16773,41998,20254,101289,4123,22699,304045,28999,82469,13741,21608","302283,25825,18155,23912,24700",5.0,41998,1.0,2.0,"18155,26746",5.0,"23198,84474,22115,15246,16773",1.0,26746,1.0,84474,1.92,3.18,4.58
30899,2022-09-05,Round 4,First Division,Valladolid,Almería,1-0,1,0,Estadio Municipal José Zorrilla  (Valladolid),González Fuertes,Pacheta,Rubi,1,0,"4062,24053,402016,22258,9392,101009,24419,24297,200585,401040,401141","12518,202424,22619,25806,28787,21222,300050,21024,29328,300581,82903,13192","400349,20084,22194,85055,20049,27821,19074,202079,26997,101283,70364","32898,15237,1069089,12415,22608,30012,27659,29394,46049,7502,27764,40009",28787,1.0,0,0.0,1.0,22258,6.0,"20049,27821,202079,32898,15237,1069089",0.0,0,0.0,0,2.25,3.25,3.32
30900,2022-09-09,Round 5,First Division,Girona,Valladolid,2-1,2,1,Estadi Municipal de Montilivi  (Girona),Soto Grado,Míchel,Pacheta,2,1,"101023,15099,24523,9371,6287,304051,27971,302245,300056,23741,1010860","24250,19835,200119,21033,24664,41632,20948,95715,26769,12965,300554","4062,24053,402016,22258,21222,24419,22619,200585,25806,21024,401141","13192,101009,24297,28787,25057,9392,12518,401040,300050,202424,82903,29328","27971,300056",2.0,22619,1.0,0.0,0,2.0,"200585,21024",0.0,0,0.0,0,2.06,3.28,3.84
